eigenvalue	percentage of variance	cumulative percentage of variance
2.274143e-01	1.456101e+00	1.456101e+00
1.918914e-01	1.228654e+00	2.684755e+00
1.314677e-01	8.417690e-01	3.526524e+00
1.219799e-01	7.810201e-01	4.307544e+00
1.111424e-01	7.116293e-01	5.019173e+00
9.688079e-02	6.203140e-01	5.639487e+00
8.882762e-02	5.687507e-01	6.208238e+00
8.775118e-02	5.618583e-01	6.770096e+00
8.014000e-02	5.131251e-01	7.283221e+00
7.821417e-02	5.007942e-01	7.784015e+00
6.727448e-02	4.307489e-01	8.214764e+00
6.519075e-02	4.174071e-01	8.632171e+00
6.335622e-02	4.056609e-01	9.037832e+00
6.208080e-02	3.974946e-01	9.435327e+00
6.103037e-02	3.907688e-01	9.826096e+00
5.757043e-02	3.686153e-01	1.019471e+01
5.529091e-02	3.540198e-01	1.054873e+01
5.439272e-02	3.482689e-01	1.089700e+01
5.104183e-02	3.268136e-01	1.122381e+01
5.059208e-02	3.239339e-01	1.154775e+01
4.888296e-02	3.129906e-01	1.186074e+01
4.815611e-02	3.083367e-01	1.216907e+01
4.795479e-02	3.070477e-01	1.247612e+01
4.728737e-02	3.027743e-01	1.277890e+01
4.675758e-02	2.993821e-01	1.307828e+01
4.604556e-02	2.948232e-01	1.337310e+01
4.559512e-02	2.919391e-01	1.366504e+01
4.490389e-02	2.875132e-01	1.395255e+01
4.452657e-02	2.850973e-01	1.423765e+01
4.370509e-02	2.798375e-01	1.451749e+01
4.319955e-02	2.766006e-01	1.479409e+01
4.262139e-02	2.728987e-01	1.506699e+01
4.170111e-02	2.670063e-01	1.533399e+01
4.119973e-02	2.637960e-01	1.559779e+01
4.097952e-02	2.623860e-01	1.586018e+01
4.078198e-02	2.611212e-01	1.612130e+01
4.017608e-02	2.572417e-01	1.637854e+01
3.988303e-02	2.553654e-01	1.663390e+01
3.936144e-02	2.520257e-01	1.688593e+01
3.867826e-02	2.476514e-01	1.713358e+01
3.843675e-02	2.461050e-01	1.737969e+01
3.814075e-02	2.442098e-01	1.762390e+01
3.757984e-02	2.406184e-01	1.786451e+01
3.740939e-02	2.395270e-01	1.810404e+01
3.676908e-02	2.354272e-01	1.833947e+01
3.613334e-02	2.313566e-01	1.857083e+01
3.592548e-02	2.300258e-01	1.880085e+01
3.551945e-02	2.274260e-01	1.902828e+01
3.528159e-02	2.259030e-01	1.925418e+01
3.517844e-02	2.252426e-01	1.947942e+01
3.438884e-02	2.201868e-01	1.969961e+01
3.417713e-02	2.188313e-01	1.991844e+01
3.385197e-02	2.167493e-01	2.013519e+01
3.332754e-02	2.133915e-01	2.034858e+01
3.281082e-02	2.100830e-01	2.055867e+01
3.256121e-02	2.084848e-01	2.076715e+01
3.247620e-02	2.079405e-01	2.097509e+01
3.185332e-02	2.039523e-01	2.117904e+01
3.149905e-02	2.016839e-01	2.138073e+01
3.115938e-02	1.995091e-01	2.158024e+01
3.093982e-02	1.981033e-01	2.177834e+01
3.047248e-02	1.951109e-01	2.197345e+01
3.022886e-02	1.935511e-01	2.216700e+01
2.997975e-02	1.919561e-01	2.235896e+01
2.976305e-02	1.905686e-01	2.254953e+01
2.946763e-02	1.886770e-01	2.273820e+01
2.940244e-02	1.882597e-01	2.292646e+01
2.912697e-02	1.864959e-01	2.311296e+01
2.901215e-02	1.857607e-01	2.329872e+01
2.853655e-02	1.827155e-01	2.348143e+01
2.822121e-02	1.806964e-01	2.366213e+01
2.810951e-02	1.799812e-01	2.384211e+01
2.787192e-02	1.784599e-01	2.402057e+01
2.773623e-02	1.775911e-01	2.419816e+01
2.769453e-02	1.773242e-01	2.437549e+01
2.750549e-02	1.761137e-01	2.455160e+01
2.729990e-02	1.747974e-01	2.472640e+01
2.699724e-02	1.728595e-01	2.489926e+01
2.697216e-02	1.726989e-01	2.507196e+01
2.669914e-02	1.709508e-01	2.524291e+01
2.661662e-02	1.704224e-01	2.541333e+01
2.625965e-02	1.681368e-01	2.558147e+01
2.599395e-02	1.664356e-01	2.574790e+01
2.591928e-02	1.659575e-01	2.591386e+01
